"day","time","latitude","longitude","T"
16705,2070-09-27,12.7225130890052,358.75,299.73584
16705.5,2070-09-27,12.7225130890052,358.75,312.3407
16706,2070-09-28,12.7225130890052,358.75,299.79907
16706.5,2070-09-28,12.7225130890052,358.75,312.10623
16707,2070-09-29,12.7225130890052,358.75,298.415
16707.5,2070-09-29,12.7225130890052,358.75,308.91916
16708,2070-09-30,12.7225130890052,358.75,296.2577
16708.5,2070-09-30,12.7225130890052,358.75,307.402
16709,2070-10-01,12.7225130890052,358.75,294.41208
16709.5,2070-10-01,12.7225130890052,358.75,309.40906
16710,2070-10-02,12.7225130890052,358.75,297.12595
16710.5,2070-10-02,12.7225130890052,358.75,310.9369
16711,2070-10-03,12.7225130890052,358.75,298.19305
16711.5,2070-10-03,12.7225130890052,358.75,311.49887
16712,2070-10-04,12.7225130890052,358.75,299.98267
16712.5,2070-10-04,12.7225130890052,358.75,312.76157
16713,2070-10-05,12.7225130890052,358.75,300.481
16713.5,2070-10-05,12.7225130890052,358.75,312.22437
16714,2070-10-06,12.7225130890052,358.75,299.08493
16714.5,2070-10-06,12.7225130890052,358.75,310.44983
16715,2070-10-07,12.7225130890052,358.75,298.5774
16715.5,2070-10-07,12.7225130890052,358.75,308.6062
16716,2070-10-08,12.7225130890052,358.75,297.68594
16716.5,2070-10-08,12.7225130890052,358.75,302.87933
16717,2070-10-09,12.7225130890052,358.75,295.39987
16717.5,2070-10-09,12.7225130890052,358.75,305.91565
16718,2070-10-10,12.7225130890052,358.75,294.6984
16718.5,2070-10-10,12.7225130890052,358.75,308.44052
16719,2070-10-11,12.7225130890052,358.75,295.77548
16719.5,2070-10-11,12.7225130890052,358.75,309.52448
16720,2070-10-12,12.7225130890052,358.75,296.49875
16720.5,2070-10-12,12.7225130890052,358.75,310.21283
16721,2070-10-13,12.7225130890052,358.75,297.30542
16721.5,2070-10-13,12.7225130890052,358.75,310.91125
16722,2070-10-14,12.7225130890052,358.75,297.6548
16722.5,2070-10-14,12.7225130890052,358.75,311.11996
16723,2070-10-15,12.7225130890052,358.75,297.68628
16723.5,2070-10-15,12.7225130890052,358.75,312.07947
16724,2070-10-16,12.7225130890052,358.75,297.34796
16724.5,2070-10-16,12.7225130890052,358.75,311.7335
16725,2070-10-17,12.7225130890052,358.75,297.18954
16725.5,2070-10-17,12.7225130890052,358.75,310.4801
16726,2070-10-18,12.7225130890052,358.75,296.0818
16726.5,2070-10-18,12.7225130890052,358.75,309.56406
16727,2070-10-19,12.7225130890052,358.75,296.57648
16727.5,2070-10-19,12.7225130890052,358.75,310.2499
16728,2070-10-20,12.7225130890052,358.75,297.90387
16728.5,2070-10-20,12.7225130890052,358.75,310.19278
16729,2070-10-21,12.7225130890052,358.75,298.35028
16729.5,2070-10-21,12.7225130890052,358.75,310.4883
16730,2070-10-22,12.7225130890052,358.75,298.0773
16730.5,2070-10-22,12.7225130890052,358.75,310.6508
16731,2070-10-23,12.7225130890052,358.75,298.2302
16731.5,2070-10-23,12.7225130890052,358.75,311.44275
16732,2070-10-24,12.7225130890052,358.75,298.71225
16732.5,2070-10-24,12.7225130890052,358.75,312.4351
16733,2070-10-25,12.7225130890052,358.75,298.61752
16733.5,2070-10-25,12.7225130890052,358.75,312.31836
